Method,Version,RMSE,MAE,R2,Timestamp,NormRMSE,NormMAE,R2_shifted,NormR2,R2Loss,Composite
FedGen,13,0.2837082476146872,0.250773116516645,-1.2127788869716478,2025-04-09 14:11:48,0.25802191586807205,0.23720426421737534,13.483696890681982,0.8811014236035368,0.11889857639646317,0.20470825216063684
FedNTD,1,0.7978818031654595,0.7873850270186756,-16.501343138172658,2025-04-10 17:19:05,1.0,1.0,0.0,0.0,1.0,1.0
FedNTD,2,0.4343458281012488,0.40921220206373765,-4.186394736008539,2025-04-10 17:19:10,0.40456349146230597,0.3991994039179935,12.314948402164118,0.7447152340922512,0.25528476590774885,0.35301588709601606
FedNTD,3,0.3305018428257649,0.29678520851769846,-2.0029080187428487,2025-04-10 17:19:14,0.23447716090271706,0.22058740358133033,14.498435119429809,0.8767560489364358,0.12324395106356423,0.19276950518253716
FedNTD,4,0.24058302609183174,0.20911385191913548,-0.5911980038388831,2025-04-10 17:19:18,0.08719889971154585,0.08130451536742664,15.910145134333774,0.9621256274264952,0.03787437257350479,0.06879259588415909
FedNTD,5,0.1984703991385385,0.16746999265551352,-0.08289349542148283,2025-04-10 17:19:22,0.018222519715067404,0.015145199261832502,16.418449642751174,0.9928640518692391,0.007135948130760905,0.01350122236922027
FedNTD,6,0.22469239589850573,0.1776545863285453,-0.387941013116744,2025-04-10 17:19:26,0.06117159564870456,0.03132539399248149,16.113402125055913,0.9744170778234716,0.025582922176528355,0.0393599706059048
FedNTD,7,0.1919854768549179,0.15942782613757506,-0.013283597385895352,2025-04-10 17:19:30,0.007600848828120612,0.002368663987665414,16.48805954078676,0.9970735336971613,0.0029264663028386595,0.004298659706208229
FedNTD,8,0.22191708188244189,0.17624654608497936,-0.3538661340539926,2025-04-10 17:19:33,0.05662590168394935,0.029088450029776943,16.147477004118667,0.9764776696107198,0.0235223303892802,0.03641222736766883
FedNTD,9,0.20242056397894084,0.17276940607702065,-0.12642821431009255,2025-04-10 17:19:37,0.024692504866611436,0.023564341337696512,16.374914923862566,0.9902314002892638,0.009768599710736181,0.01934181530501471
FedNTD,10,0.27096471808316586,0.2325773168989146,-1.0184581544927895,2025-04-10 17:19:41,0.13696115116298016,0.11858076266964969,15.482884983679869,0.9362881547289564,0.06371184527104357,0.10641791970122447
FedNTD,11,0.18734487798261754,0.1579368749677094,0.03510977483249289,2025-04-10 17:19:45,0.0,0.0,16.53645291300515,1.0,0.0,0.0
FedNTD,12,0.29906999731352907,0.25865966159725984,-1.458894822586462,2025-04-10 17:19:49,0.18299486029850265,0.16001760637688703,15.042448315586196,0.9096538655975014,0.09034613440249861,0.14445286702596277
FedNTD,13,0.38206871951925203,0.34441954894528337,-3.013074522404211,2025-04-10 17:19:53,0.31893868086409205,0.2962637563871576,13.488268615768447,0.815668794676067,0.184331205323933,0.2665112141917275
FedProx,1,0.6589789513098872,0.5374879796664347,-10.93816112317673,2025-04-09 13:27:22,0.4986317084443389,0.3990041028687858,24.366346122321612,0.6864485943917303,0.31355140560826966,0.4037290723071314
FedProx,2,1.1491668729844124,1.135730015215278,-35.30450724549834,2025-04-09 13:27:25,1.0,1.0,0.0,0.0,1.0,1.0
FedProx,3,0.7797225073035878,0.7064369793615907,-15.713772699362728,2025-04-09 13:27:29,0.6221292238015458,0.5687308181572863,19.590734546135614,0.5519100863455594,0.4480899136544406,0.5463166518710909
FedProx,4,1.0319111492637791,1.0167450964654274,-28.273790466011924,2025-04-09 13:27:33,0.880069868559571,0.8804673631408291,7.0307167794864185,0.1980693217857387,0.8019306782142613,0.8541559699715537
FedProx,5,0.3929508164993171,0.2896390459037342,-3.24493203652923,2025-04-09 13:27:36,0.22653591505946052,0.15001425687263698,32.059575208969115,0.9031822099429315,0.09681779005706848,0.15778932066305532
FedProx,6,0.24849747989697074,0.21184568594201647,-0.6976115753061805,2025-04-09 13:27:39,0.07878783849644495,0.07186279411534156,34.60689567019216,0.9749453106267056,0.02505468937329436,0.05856844066169362
FedProx,7,0.3668068077297105,0.32461826435425073,-2.6988704861326607,2025-04-09 13:27:43,0.19979560500356083,0.18515449364040343,32.60563675936568,0.9185658535076802,0.08143414649231984,0.15546141504542801
FedProx,8,0.1955047289602244,0.15651214190820092,-0.050772949161726144,2025-04-09 13:27:46,0.02458641119234183,0.01627453558124629,35.25373429633662,0.9931680455204032,0.006831954479596836,0.01589763375106165
FedProx,9,0.31128221207290435,0.27275963977322354,-1.6638082426186287,2025-04-09 13:27:49,0.1430045858191758,0.1330571505049081,33.640699002879714,0.9477256224201502,0.05227437757984976,0.10944537130131121
FedProx,10,0.17146658772394052,0.14031217891309383,0.19173576729841035,2025-04-09 13:27:53,0.0,0.0,35.496243012796754,1.0,0.0,0.0
FedProx,11,0.3272832539365588,0.2990244958055644,-1.944705849828964,2025-04-09 13:27:57,0.1593705847913369,0.15944291040841813,33.35980139566938,0.9398121762813838,0.060187823718616196,0.12633377297279041
FedProx,12,0.39906771292345694,0.3686076412585771,-3.3781187244994584,2025-04-09 13:28:01,0.2327923277007949,0.22934636493310576,31.926388520998884,0.8994300751628588,0.10056992483714122,0.18756953915701394
FedProx,13,0.25210888890676025,0.21762299042900052,-0.7473128352064955,2025-04-09 13:28:04,0.08248161772944107,0.0776666930171794,34.55719441029185,0.9735451269542422,0.026454873045757776,0.06220106126412608
MOON,1,0.40780505707808107,0.30571476075823223,-3.5719298684906837,2025-04-09 14:00:05,0.15327996257917223,0.08108870194707912,36.83743019913404,0.9312077937259685,0.06879220627403149,0.10105362360009428
MOON,2,1.1370913031552488,1.108934819299491,-34.545532250136674,2025-04-09 14:00:17,0.906790894018453,0.900020082550173,5.863827817488051,0.1482308113023685,0.8517691886976315,0.8861933884220858
MOON,3,0.9018722831028451,0.820045828351583,-21.360650111798744,2025-04-09 14:00:29,0.6637586088968063,0.6054803014749067,19.04870995582598,0.48152944098982203,0.5184705590101779,0.5959031564606303
MOON,5,1.2273038218663577,1.2069966069523952,-40.409360067624725,2025-04-09 14:00:43,1.0,1.0,0.0,0.0,1.0,1.0
MOON,5,1.2273038218663577,1.2069966069523952,-40.409360067624725,2025-04-09 14:00:43,1.0,1.0,0.0,0.0,1.0,1.0
MOON,6,0.42494481305007714,0.30238004862360085,-3.9643159137075177,2025-04-09 14:00:55,0.17098904945222174,0.07768876144100262,36.44504415391721,0.9212887265847484,0.07871127341525164,0.109129694769492
MOON,7,0.29195697572111956,0.24812883531786478,-1.343322477655485,2025-04-09 14:01:08,0.033583758025355674,0.022376371592888227,39.06603758996924,0.9875444209087686,0.012455579091231406,0.02280523623649177
MOON,8,0.6283485824365375,0.582493726268963,-9.854145151935063,2025-04-09 14:01:19,0.3811492774190533,0.36328158039591324,30.55521491568966,0.7724006293232432,0.22759937067675684,0.32401007616390776
MOON,9,0.2868188792072921,0.24382255218733617,-1.2615688545164927,2025-04-09 14:01:32,0.02827498947146554,0.017985855753734216,39.147791213108235,0.9896110583104774,0.010388941689522646,0.018883262304907465
MOON,10,0.4260992713230646,0.3797169799495113,-3.9913259173874636,2025-04-09 14:01:44,0.17218185534053476,0.15653843566023937,36.41803415023726,0.9206059448109012,0.07939405518909881,0.1360381153966243
MOON,11,0.25945290471488597,0.22618175778916574,-0.8505951525037623,2025-04-09 14:01:56,0.0,0.0,39.55876491512096,1.0,0.0,0.0
